R1,R2,R3,R4,R5,R6,R7,R8,I1,I2,I3,I4,I5,I6,I7,I8,A1,A2,A3,A4,A5,A6,A7,A8,S1,S2,S3,S4,S5,S6,S7,S8,E1,E2,E3,E4,E5,E6,E7,E8,C1,C2,C3,C4,C5,C6,C7,C8,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,major,R,I,A,S,E,C,cluster
3,1,1,1,1,1,1,2,3,2,2,2,3,2,1,2,4,5,2,4,4,5,3,4,5,1,4,2,4,2,3,4,1,1,4,1,4,3,3,3,1,1,4,4,4,3,5,4,4,4,5,6,6,5,4,1,4,3,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,1,2,17,1,4,0,1,2,1,2,accounting,11,17,31,25,20,26,35
3,2,1,1,1,2,2,2,2,3,2,2,1,2,2,2,3,4,2,3,4,4,4,5,5,4,4,4,4,5,5,4,5,3,4,4,4,3,3,4,3,3,3,2,3,3,3,3,7,2,6,3,6,1,6,5,6,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,3,1,1,2,25,1,6,1,1,1,1,2,accounting,14,16,29,35,30,23,35
1,1,1,1,2,1,2,3,1,3,1,1,1,1,1,3,3,4,4,3,4,4,4,5,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,4,1,1,1,3,1,3,3,4,3,5,3,6,6,7,7,1,3,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,3,2,2,21,1,10,2,1,1,1,3,accounting,12,12,31,32,27,17,35
2,4,5,4,3,4,4,4,3,2,2,4,2,1,4,1,1,1,3,3,3,4,5,4,3,1,1,4,2,3,3,3,1,2,5,3,3,3,3,3,1,1,1,3,1,3,1,2,1,1,7,4,5,7,5,3,7,4,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,3,2,2,1,24,1,7,1,3,2,1,3,administration,30,19,24,20,23,13,18
3,5,3,5,5,4,3,5,4,3,3,3,4,4,4,3,3,4,2,4,3,5,5,4,4,2,2,4,2,1,3,3,1,1,2,1,2,1,3,2,2,2,1,1,2,2,1,1,5,6,6,4,7,5,7,7,6,6,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,4,3,2,1,35,1,7,3,3,1,1,1,administration,33,28,30,21,13,12,18
5,5,4,4,4,5,3,4,4,3,4,3,2,2,3,4,2,2,1,0,2,2,3,4,4,4,3,4,4,4,4,1,3,1,4,1,5,1,4,1,3,3,3,4,4,4,3,4,6,1,7,2,6,1,6,2,7,3,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,4,2,1,1,41,1,6,1,4,1,2,2,administration,34,25,16,28,20,28,18
3,4,4,4,2,4,3,3,4,4,4,5,4,5,3,4,5,4,5,5,1,5,5,4,4,3,3,5,3,5,3,3,2,2,5,3,5,3,3,3,2,1,3,1,5,3,2,2,7,4,7,2,6,6,7,4,7,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,3,1,1,33,2,6,1,5,1,2,3,administration,27,33,34,29,26,19,18
3,2,3,2,3,2,1,3,4,2,2,4,3,2,2,3,1,4,3,4,3,3,5,3,5,1,3,5,3,1,3,2,3,1,2,1,3,1,2,1,1,1,1,1,2,1,2,1,5,1,5,4,5,6,3,1,7,4,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,4,3,1,1,26,1,4,1,4,1,1,2,administration,19,22,26,23,14,10,18
4,1,1,3,1,4,2,3,4,1,1,4,3,1,2,1,4,5,4,5,4,4,5,3,4,3,2,5,2,2,4,4,2,4,4,4,5,2,5,3,3,2,4,4,4,4,3,3,5,1,7,5,6,5,5,2,4,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,4,2,2,1,39,1,4,1,4,2,2,2,administration,19,17,34,26,29,27,18
3,3,4,4,3,3,3,3,3,2,3,3,3,2,3,4,3,2,3,4,3,4,4,3,4,4,3,4,3,4,5,2,2,2,4,3,4,2,2,3,3,2,3,3,3,3,2,2,5,2,7,1,6,5,6,3,7,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,3,1,1,57,1,7,1,3,1,2,3,administration,26,23,26,29,22,21,18
3,5,4,1,4,5,5,5,4,4,4,2,1,2,2,1,1,5,1,4,1,5,5,4,5,5,4,5,5,5,5,5,1,2,1,1,1,1,5,1,1,4,2,1,1,4,1,1,7,1,6,1,5,1,7,1,6,6,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,2,1,2,1,58,1,7,1,3,1,3,5,administration,32,20,26,39,13,15,18
3,4,1,3,4,4,3,2,3,5,4,3,3,3,3,1,5,2,3,3,2,4,2,1,4,3,2,3,3,3,4,2,2,1,4,4,3,3,3,2,3,1,2,2,1,3,2,1,5,5,7,5,5,7,6,3,6,3,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,3,2,1,55,1,6,1,1,2,2,4,administration,24,25,22,24,22,15,18
